,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0
,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report
0,2022-07-30,17:00,Community Shield,FA Community Shield,Sat,Neutral,L,1,3,Liverpool,,11,,,,,,,,,,,14,0,,,Match Report
1,2022-08-07,16:30,Premier League,Matchweek 1,Sun,Away,W,2,0,West Ham,6.0,4,4.0,1.0,1.0,6.0,7.0,85.7,1.0,7.0,3.0,4.0,3,9,11.0,0.0,Match Report
2,2022-08-13,15:00,Premier League,Matchweek 2,Sat,Home,W,4,0,Bournemouth,8.0,4,1.0,5.0,2.0,4.0,10.0,40.0,6.0,11.0,1.0,10.0,5,13,4.0,0.0,Match Report
3,2022-08-21,16:30,Premier League,Matchweek 3,Sun,Away,D,3,3,Newcastle Utd,9.0,5,1.0,5.0,3.0,4.0,13.0,30.8,9.0,6.0,3.0,3.0,5,14,13.0,0.0,Match Report
4,2022-08-27,15:00,Premier League,Matchweek 4,Sat,Home,W,4,2,Crystal Palace,12.0,10,6.0,4.0,2.0,5.0,10.0,50.0,5.0,7.0,0.0,7.0,5,17,3.0,0.0,Match Report
5,2022-08-31,19:30,Premier League,Matchweek 5,Wed,Home,W,6,0,Nott'ham Forest,13.0,11,4.0,5.0,4.0,6.0,12.0,50.0,6.0,5.0,3.0,2.0,5,18,6.0,0.0,Match Report
6,2022-09-03,17:30,Premier League,Matchweek 6,Sat,Away,D,1,1,Aston Villa,13.0,5,6.0,4.0,3.0,6.0,6.0,100.0,0.0,8.0,1.0,7.0,5,18,7.0,0.0,Match Report
7,2022-09-06,21:00,Champions Lg,Group stage,Tue,Away,W,4,0,es Sevilla,12.0,6,5.0,5.0,2.0,4.0,7.0,57.1,3.0,7.0,1.0,6.0,9,21,14.0,0.0,Match Report
8,2022-09-14,20:00,Champions Lg,Group stage,Wed,Home,W,2,1,de Dortmund,15.0,8,3.0,9.0,3.0,6.0,11.0,54.5,5.0,7.0,0.0,7.0,8,23,6.0,0.0,Match Report
9,2022-09-17,12:30,Premier League,Matchweek 8,Sat,Away,W,3,0,Wolves,19.0,11,10.0,9.0,0.0,9.0,22.0,40.9,13.0,9.0,1.0,8.0,15,34,12.0,0.0,Match Report
10,2022-10-02,14:00,Premier League,Matchweek 9,Sun,Home,W,6,3,Manchester Utd,14.0,8,5.0,5.0,4.0,7.0,11.0,63.6,4.0,10.0,3.0,7.0,11,25,8.0,0.0,Match Report
11,2022-10-05,20:00,Champions Lg,Group stage,Wed,Home,W,5,0,dk FC Copenhagen,11.0,6,1.0,7.0,3.0,6.0,12.0,50.0,6.0,5.0,1.0,4.0,3,14,2.0,0.0,Match Report
12,2022-10-08,15:00,Premier League,Matchweek 10,Sat,Home,W,4,0,Southampton,15.0,8,6.0,8.0,1.0,11.0,14.0,78.6,3.0,8.0,2.0,6.0,8,23,6.0,0.0,Match Report
