,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Unnamed: 36_level_0
,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
0,2022-07-30,17:00,Community Shield,FA Community Shield,Sat,Neutral,L,1,3,Liverpool,3,3,1,33.3,,,,1,1,0,0,,,,,,,,,,,,,,,,Match Report
1,2022-08-07,16:30,Premier League,Matchweek 1,Sun,Away,W,2,0,West Ham,1,0,1,100.0,1.0,0.1,0.1,0,0,0,0,1.0,4.0,25.0,38.0,5.0,10.5,25.0,5.0,0.0,19.4,11.0,1.0,9.1,3.0,21.8,Match Report
2,2022-08-13,15:00,Premier League,Matchweek 2,Sat,Home,W,4,0,Bournemouth,1,0,1,100.0,1.0,0.1,0.1,0,0,0,0,0.0,1.0,0.0,15.0,3.0,6.7,24.3,1.0,0.0,10.0,6.0,1.0,16.7,0.0,11.0,Match Report
3,2022-08-21,16:30,Premier League,Matchweek 3,Sun,Away,D,3,3,Newcastle Utd,5,3,2,40.0,0.0,2.3,-0.7,0,0,0,0,3.0,7.0,42.9,35.0,13.0,17.1,28.4,4.0,25.0,33.8,9.0,1.0,11.1,1.0,12.0,Match Report
4,2022-08-27,15:00,Premier League,Matchweek 4,Sat,Home,W,4,2,Crystal Palace,2,2,1,0.0,0.0,0.3,-0.7,0,0,0,0,1.0,1.0,100.0,22.0,3.0,4.5,24.4,2.0,0.0,22.5,4.0,1.0,25.0,1.0,17.3,Match Report
5,2022-08-31,19:30,Premier League,Matchweek 5,Wed,Home,W,6,0,Nott'ham Forest,1,0,1,100.0,1.0,0.1,0.1,0,0,0,0,1.0,5.0,20.0,31.0,1.0,12.9,29.8,4.0,25.0,29.5,6.0,0.0,0.0,4.0,22.0,Match Report
6,2022-09-03,17:30,Premier League,Matchweek 6,Sat,Away,D,1,1,Aston Villa,1,1,0,0.0,0.0,0.6,-0.4,0,0,0,0,2.0,5.0,40.0,31.0,1.0,16.1,26.5,3.0,0.0,32.7,7.0,0.0,0.0,0.0,9.5,Match Report
7,2022-09-06,21:00,Champions Lg,Group stage,Tue,Away,W,4,0,es Sevilla,1,0,1,100.0,1.0,0.1,0.1,0,0,0,0,4.0,7.0,57.1,23.0,1.0,21.7,29.5,4.0,50.0,32.5,8.0,0.0,0.0,0.0,18.0,Match Report
8,2022-09-14,20:00,Champions Lg,Group stage,Wed,Home,W,2,1,de Dortmund,2,1,1,50.0,0.0,0.5,-0.5,0,0,0,0,1.0,5.0,20.0,24.0,4.0,12.5,25.0,5.0,40.0,41.2,7.0,0.0,0.0,1.0,37.0,Match Report
9,2022-09-17,12:30,Premier League,Matchweek 8,Sat,Away,W,3,0,Wolves,1,0,1,100.0,1.0,0.1,0.1,0,0,0,0,1.0,3.0,33.3,26.0,4.0,7.7,24.2,6.0,16.7,23.2,7.0,1.0,14.3,2.0,15.5,Match Report
10,2022-10-02,14:00,Premier League,Matchweek 9,Sun,Home,W,6,3,Manchester Utd,8,3,5,75.0,0.0,2.9,-0.1,1,1,0,0,9.0,16.0,56.3,62.0,3.0,22.6,27.1,8.0,25.0,32.9,4.0,0.0,0.0,3.0,17.1,Match Report
11,2022-10-05,20:00,Champions Lg,Group stage,Wed,Home,W,5,0,dk FC Copenhagen,0,0,0,,1.0,0.0,0.0,0,0,0,0,8.0,8.0,100.0,31.0,4.0,25.8,27.6,3.0,0.0,23.7,4.0,0.0,0.0,0.0,,Match Report
12,2022-10-08,15:00,Premier League,Matchweek 10,Sat,Home,W,4,0,Southampton,0,0,0,,1.0,0.0,0.0,0,0,0,0,4.0,7.0,57.1,34.0,4.0,20.6,25.6,4.0,0.0,20.0,5.0,1.0,20.0,0.0,11.0,Match Report
13,2022-10-11,18:45,Champions Lg,Group stage,Tue,Away,D,0,0,dk FC Copenhagen,1,0,1,100.0,1.0,0.1,0.1,0,0,0,0,4.0,12.0,33.3,31.0,6.0,25.8,29.8,8.0,50.0,46.6,8.0,1.0,12.5,2.0,17.0,Match Report
14,2022-10-16,16:30,Premier League,Matchweek 11,Sun,Away,L,0,1,Liverpool,2,1,1,50.0,0.0,0.7,-0.3,0,0,0,0,1.0,2.0,50.0,32.0,4.0,6.3,24.3,8.0,0.0,16.6,11.0,0.0,0.0,1.0,19.0,Match Report
15,2022-10-22,15:00,Premier League,Matchweek 13,Sat,Home,W,3,1,Brighton,2,1,1,50.0,0.0,0.3,-0.7,0,0,0,0,4.0,20.0,20.0,47.0,5.0,31.9,33.4,7.0,71.4,54.7,13.0,2.0,15.4,4.0,18.5,Match Report
16,2022-10-25,21:00,Champions Lg,Group stage,Tue,Away,D,0,0,de Dortmund,4,0,4,100.0,1.0,0.3,0.3,0,0,0,0,1.0,2.0,50.0,18.0,5.0,11.1,24.3,5.0,0.0,22.4,1.0,0.0,0.0,1.0,27.0,Match Report
17,2022-10-29,12:30,Premier League,Matchweek 14,Sat,Away,W,1,0,Leicester City,5,0,5,100.0,1.0,0.4,0.4,0,0,0,0,1.0,5.0,20.0,23.0,7.0,17.4,25.4,6.0,16.7,26.3,8.0,0.0,0.0,1.0,25.5,Match Report
18,2022-11-02,20:00,Champions Lg,Group stage,Wed,Home,W,3,1,es Sevilla,2,1,1,50.0,0.0,0.7,-0.3,0,0,0,0,2.0,3.0,66.7,24.0,1.0,8.3,19.1,5.0,20.0,31.4,4.0,1.0,25.0,4.0,22.5,Match Report
19,2022-11-05,15:00,Premier League,Matchweek 15,Sat,Home,W,2,1,Fulham,2,1,1,100.0,0.0,1.3,0.3,1,1,0,0,3.0,7.0,42.9,38.0,2.0,15.8,23.7,2.0,50.0,45.0,6.0,0.0,0.0,0.0,,Match Report
20,2022-11-09,20:00,EFL Cup,Third round,Wed,Home,W,2,0,Chelsea,5,0,5,100.0,1.0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
21,2022-11-12,12:30,Premier League,Matchweek 16,Sat,Home,L,1,2,Brentford,7,2,5,71.4,0.0,2.4,0.4,0,0,0,0,3.0,5.0,60.0,27.0,8.0,14.8,27.8,3.0,33.3,34.7,10.0,3.0,30.0,1.0,12.4,Match Report
22,2022-12-22,20:00,EFL Cup,Fourth round,Thu,Home,W,3,2,Liverpool,2,2,0,0.0,0.0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
23,2022-12-28,20:00,Premier League,Matchweek 17,Wed,Away,W,3,1,Leeds United,1,1,0,0.0,0.0,0.3,-0.7,0,0,0,0,3.0,7.0,42.9,39.0,5.0,17.9,28.1,6.0,0.0,16.5,7.0,1.0,14.3,1.0,16.3,Match Report
24,2022-12-31,15:00,Premier League,Matchweek 18,Sat,Home,D,1,1,Everton,1,1,0,0.0,0.0,0.6,-0.4,0,0,0,0,0.0,0.0,,18.0,4.0,0.0,20.4,0.0,,,8.0,0.0,0.0,2.0,21.0,Match Report
25,2023-01-05,20:00,Premier League,Matchweek 19,Thu,Away,W,1,0,Chelsea,2,0,2,100.0,1.0,0.6,0.6,0,0,0,0,5.0,12.0,41.7,22.0,6.0,36.4,34.1,6.0,66.7,50.3,13.0,0.0,0.0,0.0,,Match Report
26,2023-01-08,16:30,FA Cup,Third round proper,Sun,Home,W,4,0,Chelsea,1,0,1,100.0,1.0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
27,2023-01-11,20:00,EFL Cup,Quarter-finals,Wed,Away,L,0,2,Southampton,4,2,2,50.0,0.0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
28,2023-01-14,12:30,Premier League,Matchweek 20,Sat,Away,L,1,2,Manchester Utd,3,2,1,33.3,0.0,1.6,-0.4,0,0,0,0,4.0,7.0,57.1,48.0,6.0,12.5,24.7,4.0,25.0,30.5,4.0,2.0,50.0,2.0,16.3,Match Report
29,2023-01-19,20:00,Premier League,Matchweek 7,Thu,Home,W,4,2,Tottenham,3,2,1,33.3,0.0,0.3,-1.7,0,0,0,0,5.0,12.0,41.7,31.0,4.0,32.3,32.5,4.0,50.0,26.8,8.0,1.0,12.5,0.0,13.3,Match Report
30,2023-01-22,14:00,Premier League,Matchweek 21,Sun,Home,W,3,0,Wolves,1,0,1,100.0,1.0,0.2,0.2,0,0,0,0,4.0,10.0,40.0,33.0,6.0,24.2,31.0,3.0,66.7,46.0,14.0,1.0,7.1,0.0,10.0,Match Report
31,2023-01-27,20:00,FA Cup,Fourth round proper,Fri,Home,W,1,0,Arsenal,2,0,2,100.0,1.0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
32,2023-02-05,16:30,Premier League,Matchweek 22,Sun,Away,L,0,1,Tottenham,3,1,2,66.7,0.0,1.0,0.0,0,0,0,0,1.0,6.0,16.7,21.0,2.0,28.6,31.0,6.0,0.0,17.0,7.0,0.0,0.0,1.0,9.8,Match Report
33,2023-02-12,16:30,Premier League,Matchweek 23,Sun,Home,W,3,1,Aston Villa,2,1,1,50.0,0.0,0.4,-0.6,0,0,0,0,3.0,4.0,75.0,27.0,6.0,14.8,29.0,2.0,0.0,18.0,4.0,0.0,0.0,1.0,12.0,Match Report
34,2023-02-15,19:30,Premier League,Matchweek 12,Wed,Away,W,3,1,Arsenal,1,1,0,100.0,0.0,1.0,0.0,1,1,0,0,9.0,23.0,39.1,27.0,3.0,51.9,42.4,10.0,90.0,64.6,11.0,0.0,0.0,0.0,19.0,Match Report
35,2023-02-18,15:00,Premier League,Matchweek 24,Sat,Away,D,1,1,Nott'ham Forest,1,1,0,0.0,0.0,1.0,0.0,0,0,0,0,2.0,4.0,50.0,23.0,2.0,17.4,26.0,4.0,0.0,19.3,3.0,0.0,0.0,1.0,30.0,Match Report
36,2023-02-22,21:00,Champions Lg,Round of 16,Wed,Away,D,1,1,de RB Leipzig,4,1,3,75.0,0.0,1.1,0.1,0,0,0,0,4.0,7.0,57.1,30.0,3.0,20.0,27.5,3.0,33.3,37.3,7.0,0.0,0.0,0.0,8.5,Match Report
