,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 32_level_0
,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2022-07-30,17:00,Community Shield,FA Community Shield,Sat,Neutral,L,1,3,Liverpool,,,,,,,,,,,,,,,0,,,,,,,,Match Report
1,2022-08-07,16:30,Premier League,Matchweek 1,Sun,Away,W,2,0,West Ham,792.0,869.0,91.1,12789.0,3979.0,415.0,430.0,96.5,302.0,319.0,94.7,59.0,85.0,69.4,1,1.3,1.6,11.0,52.0,9.0,0.0,51.0,Match Report
2,2022-08-13,15:00,Premier League,Matchweek 2,Sat,Home,W,4,0,Bournemouth,672.0,739.0,90.9,11744.0,3043.0,305.0,321.0,95.0,296.0,316.0,93.7,60.0,81.0,74.1,3,1.7,1.8,17.0,76.0,13.0,3.0,73.0,Match Report
3,2022-08-21,16:30,Premier League,Matchweek 3,Sun,Away,D,3,3,Newcastle Utd,554.0,660.0,83.9,9782.0,3100.0,252.0,277.0,91.0,235.0,272.0,86.4,57.0,82.0,69.5,3,1.8,2.0,17.0,48.0,9.0,2.0,60.0,Match Report
4,2022-08-27,15:00,Premier League,Matchweek 4,Sat,Home,W,4,2,Crystal Palace,734.0,822.0,89.3,12510.0,3364.0,358.0,380.0,94.2,301.0,334.0,90.1,65.0,83.0,78.3,4,2.3,1.8,15.0,82.0,22.0,8.0,81.0,Match Report
5,2022-08-31,19:30,Premier League,Matchweek 5,Wed,Home,W,6,0,Nott'ham Forest,741.0,831.0,89.2,12979.0,3640.0,341.0,361.0,94.5,315.0,341.0,92.4,69.0,93.0,74.2,3,1.8,1.6,13.0,60.0,13.0,1.0,63.0,Match Report
6,2022-09-03,17:30,Premier League,Matchweek 6,Sat,Away,D,1,1,Aston Villa,695.0,800.0,86.9,12371.0,3671.0,306.0,336.0,91.1,302.0,327.0,92.4,72.0,102.0,70.6,1,1.7,1.2,10.0,34.0,13.0,3.0,55.0,Match Report
7,2022-09-06,21:00,Champions Lg,Group stage,Tue,Away,W,4,0,es Sevilla,568.0,645.0,88.1,9411.0,2892.0,293.0,309.0,94.8,220.0,244.0,90.2,44.0,64.0,68.8,4,3.5,2.3,22.0,47.0,12.0,4.0,51.0,Match Report
8,2022-09-14,20:00,Champions Lg,Group stage,Wed,Home,W,2,1,de Dortmund,663.0,761.0,87.1,12228.0,3349.0,279.0,302.0,92.4,302.0,330.0,91.5,73.0,99.0,73.7,2,0.9,1.1,10.0,80.0,13.0,4.0,78.0,Match Report
9,2022-09-17,12:30,Premier League,Matchweek 8,Sat,Away,W,3,0,Wolves,586.0,655.0,89.5,9988.0,3241.0,269.0,291.0,92.4,269.0,290.0,92.8,41.0,56.0,73.2,3,0.9,1.3,14.0,44.0,12.0,2.0,50.0,Match Report
10,2022-10-02,14:00,Premier League,Matchweek 9,Sun,Home,W,6,3,Manchester Utd,506.0,576.0,87.8,9597.0,2816.0,190.0,210.0,90.5,245.0,261.0,93.9,60.0,76.0,78.9,6,2.3,2.4,16.0,25.0,13.0,2.0,49.0,Match Report
11,2022-10-05,20:00,Champions Lg,Group stage,Wed,Home,W,5,0,dk FC Copenhagen,818.0,889.0,92.0,13799.0,3464.0,397.0,414.0,95.9,336.0,362.0,92.8,69.0,83.0,83.1,3,2.1,2.1,22.0,80.0,19.0,3.0,74.0,Match Report
12,2022-10-08,15:00,Premier League,Matchweek 10,Sat,Home,W,4,0,Southampton,687.0,782.0,87.9,12213.0,3701.0,296.0,319.0,92.8,318.0,343.0,92.7,66.0,92.0,71.7,4,1.9,1.1,16.0,46.0,14.0,3.0,66.0,Match Report
13,2022-10-11,18:45,Champions Lg,Group stage,Tue,Away,D,0,0,dk FC Copenhagen,597.0,677.0,88.2,10006.0,2418.0,302.0,318.0,95.0,246.0,269.0,91.4,44.0,71.0,62.0,0,0.6,0.5,10.0,47.0,1.0,1.0,30.0,Match Report
14,2022-10-16,16:30,Premier League,Matchweek 11,Sun,Away,L,0,1,Liverpool,646.0,751.0,86.0,11808.0,4176.0,247.0,282.0,87.6,324.0,357.0,90.8,60.0,86.0,69.8,0,0.9,1.2,12.0,53.0,17.0,4.0,76.0,Match Report
15,2022-10-22,15:00,Premier League,Matchweek 13,Sat,Home,W,3,1,Brighton,384.0,471.0,81.5,6597.0,2127.0,187.0,201.0,93.0,156.0,188.0,83.0,32.0,65.0,49.2,2,0.8,1.2,8.0,22.0,10.0,0.0,38.0,Match Report
16,2022-10-25,21:00,Champions Lg,Group stage,Tue,Away,D,0,0,de Dortmund,860.0,943.0,91.2,13672.0,3676.0,460.0,485.0,94.8,339.0,358.0,94.7,52.0,64.0,81.3,0,0.4,0.7,7.0,84.0,11.0,1.0,77.0,Match Report
